SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021
10001,Aarons Pass,1
10002,Abbotsbury,1
10003,Abbotsford (NSW),1
10004,Abercrombie,1
10005,Abercrombie River,1
10006,Aberdare,1
10007,Aberdeen (NSW),1
10008,Aberfoyle,1
10009,Aberglasslyn,1
10010,Abermain,1
10011,Abernethy,1
10012,Abington (NSW),1
10013,Acacia Creek,1
10014,Acacia Gardens,1
10015,Adaminaby,1
10016,Adamstown,1
10017,Adamstown Heights,1
10018,Adelong,1
10019,Adjungbilly,1
10020,Afterlee,1
10021,Agnes Banks,1
10022,Airds,1
10023,Akolele,1
10024,Albert,1
10025,Albion Park,1
10026,Albion Park Rail,1
10027,Albury,1
10028,Aldavilla,1
10029,Alectown,1
10030,Alexandria,1
10031,Alfords Point,1
10032,Alfredtown,1
10033,Alice,1
10034,Alison (Central Coast - NSW),1
10035,Alison (Dungog - NSW),1
10036,Allambie Heights,1
10037,Allandale (NSW),1
10038,Allawah,1
10039,Alleena,1
10040,Allgomera,1
10041,Allworth,1
10042,Allynbrook,1
10043,Alma Park,1
10044,Alpine,1
10045,Alstonvale,1
10046,Alstonville,1
10047,Alumy Creek,1
10048,Amaroo (NSW),1
10049,Ambarvale,1
10050,Amosfield,1
10051,Anabranch North,1
10052,Anabranch South,1
10053,Anambah,1
10054,Ando,1
10055,Anembo,1
10056,Angledale,1
10057,Angledool,1
10058,Anglers Reach,1
10059,Angourie,1
10060,Angus,1
10061,Anna Bay,1
10062,Annandale (NSW),1
10063,Annangrove,1
10064,Appin (NSW),1
10065,Apple Tree Flat,1
10066,Appleby,1
10067,Appletree Flat,1
10068,Apsley (NSW),1
10069,Arable,1
10070,Arakoon,1
10071,Araluen (NSW),1
10072,Aratula (NSW),1
10073,Arcadia (NSW),1
10074,Arcadia Vale,1
10075,Ardglen,1
10076,Arding,1
10077,Ardlethan,1
10078,Argalong,1
10079,Argenton,1
10080,Argents Hill,1
10081,Argoon,1
10082,Ariah Park,1
10083,Arkell,1
10084,Arkstone,1
10085,Armatree,1
10086,Armidale,1
10087,Arncliffe,1
10088,Arndell Park,1
10089,Arrawarra,1
10090,Arrawarra Headland,1
10091,Artarmon,1
10092,Arthurville,1
10093,Arumpo,1
10094,Ashbury,1
10095,Ashby (NSW),1
10096,Ashby Heights,1
10097,Ashby Island,1
10098,Ashcroft,1
10099,Ashfield (NSW),1
10100,Ashford (NSW),1
10101,Ashley,1
10102,Ashmont,1
10103,Ashtonfield,1
10104,Asquith,1
10105,Atholwood,1
10106,Attunga,1
10107,Auburn (NSW),1
10108,Auburn Vale,1
10109,Austinmer,1
10110,Austral,1
10111,Austral Eden,1
10112,Avalon Beach,1
10113,Avisford,1
10114,Avoca (NSW),1
10115,Avoca Beach,1
10116,Avon (NSW),1
10117,Avondale (NSW),1
10118,Avonside,1
10119,Awaba,1
10120,Aylmerton,1
10121,Baan Baa,1
10122,Babinda (NSW),1
10123,Babyl Creek,1
10124,Back Creek (Bland - NSW),1
10125,Back Creek (Gwydir - NSW),1
10126,Back Creek (Mid-Coast - NSW),1
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),1
10128,Back Creek (Tenterfield - NSW),1
10129,Back Creek (Tweed - NSW),1
10130,Back Forest,1
10131,Backmede,1
10132,Backwater,1
10133,Badgerys Creek,1
10134,Badja,1
10135,Baerami,1
10136,Baerami Creek,1
10137,Bagnoo,1
10138,Bago,1
10139,Bagotville,1
10140,Bakers Creek (Mid-Coast - NSW),1
10141,Bakers Creek (Nambucca Valley - NSW),1
10142,Bakers Creek (Uralla - NSW),1
10143,Bakers Swamp,1
10144,Balaclava (NSW),1
10145,Balala,1
10146,Balcolyn,1
10147,Bald Blair,1
10148,Bald Hills (NSW),1
10149,Bald Nob,1
10150,Bald Ridge,1
10151,Baldersleigh,1
10152,Baldry,1
10153,Balfours Peak,1
10154,Balgowlah,1
10155,Balgowlah Heights,1
10156,Balgownie,1
10157,Balickera,1
10158,Balladoran,1
10159,Ballalaba,1
10160,Balldale,1
10161,Ballengarra,1
10162,Ballimore,1
10163,Ballina,1
10164,Ballyroe,1
10165,Balmain,1
10166,Balmain East,1
10167,Balmoral (Lake Macquarie - NSW),1
10168,Balmoral (Wingecarribee - NSW),1
10169,Balranald,1
10170,Bamarang,1
10171,Banda Banda,1
10172,Bandon Grove,1
10173,Bangadang,1
10174,Bangalee (NSW),1
10175,Bangalow,1
10176,Bangheet,1
10177,Bango,1
10178,Bangor (NSW),1
10179,Banksia,1
10180,Banksmeadow,1
10181,Bankstown,1
10182,Bankstown Aerodrome,1
10183,Bannaby,1
10184,Bannister (NSW),1
10185,Banoon,1
10186,Banora Point,1
10187,Banyabba,1
10188,Bar Beach,1
10189,Bar Point,1
10190,Bara,1
10191,Baradine,1
10192,Barangaroo,1
10193,Barcoongere,1
10194,Barden Ridge,1
10195,Bardia,1
10196,Bardwell Park,1
10197,Bardwell Valley,1
10198,Barellan,1
10199,Bargo,1
10200,Barham,1
10201,Barigan,1
10202,Barkers Vale,1
10203,Barmedman,1
10204,Barneys Reef,1
10205,Barnsley,1
10206,Barooga,1
10207,Barraba,1
10208,Barrack Heights,1
10209,Barrack Point,1
10210,Barraganyatti,1
10211,Barragga Bay,1
10212,Barratta (NSW),1
10213,Barren Grounds,1
10214,Barrengarry,1
10215,Barretts Creek,1
10216,Barringella,1
10217,Barrington (NSW),1
10218,Barrington Tops,1
10219,Barry (Blayney - NSW),1
10220,Barry (Tamworth Regional - NSW),1
10221,Barwang,1
10222,Baryulgil,1
10223,Basin View,1
10224,Bass Hill,1
10225,Bassendean (NSW),1
10226,Batar Creek,1
10227,Bateau Bay,1
10228,Batehaven,1
10229,Batemans Bay,1
10230,Bathampton,1
10231,Bathurst,1
10232,Batlow,1
10233,Baulkham Hills,1
10234,Baw Baw (NSW),1
10235,Bawley Point,1
10236,Baxters Ridge,1
10237,Bayview (NSW),1
10238,Beacon Hill,1
10239,Beaconsfield (NSW),1
10240,Bean Creek,1
10241,Bearbong,1
10242,Beaumont (NSW),1
10243,Beaumont Hills,1
10244,Beckom,1
10245,Bective,1
10246,Bectric,1
10247,Bedgerabong,1
10248,Beechwood,1
10249,Beecroft,1
10250,Beecroft Peninsula,1
10251,Beelbangera,1
10252,Beemunnel,1
10253,Bega,1
10254,Beggan Beggan,1
10255,Belanglo,1
10256,Belbora,1
10257,Belfield,1
10258,Belford,1
10259,Belfrayden,1
10260,Belgravia,1
10261,Belimbla Park,1
10262,Bell (NSW),1
10263,Bella Vista,1
10264,Bellambi,1
10265,Bellangry,1
10266,Bellata,1
10267,Bellawongarah,1
10268,Bellbird,1
10269,Bellbird Heights,1
10270,Bellbrook,1
10271,Bellevue Hill,1
10272,Bellimbopinni,1
10273,Bellingen,1
10274,Bellmount Forest,1
10275,Belltrees,1
10276,Belmont (NSW),1
10277,Belmont North,1
10278,Belmont South,1
10279,Belmore,1
10280,Belmore River,1
10281,Beloka,1
10282,Belowra,1
10283,Belrose,1
10284,Bemboka,1
10285,Ben Bullen,1
